carat,cut,color,clarity,x,y,z,depth,table,price
1.57,Ideal,H,VS2,7.45,7.49,4.62,61.8,55,12004
0.34,Very Good,F,SI1,4.52,4.55,2.76,60.9,60,551
1.07,Good,E,VS2,6.49,6.54,4.11,63.1,56,7250
0.46,Ideal,H,VVS1,4.96,4.99,3.1,62.3,54,1227
0.58,Very Good,H,VS2,5.39,5.41,3.3,61.2,55.8,1633
0.44,Premium,G,VVS2,4.94,4.88,3.01,61.3,60,1155
0.74,Ideal,I,SI1,5.76,5.79,3.6,62.3,57,2327
0.43,Good,G,SI1,4.83,4.79,3.06,63.6,55,903
0.33,Premium,H,VS1,4.55,4.5,2.68,59.2,58,743
0.57,Premium,D,VS2,5.28,5.32,3.27,61.7,60,1944
1,Very Good,I,VS2,6.35,6.38,3.94,61.9,59,5020
1.55,Premium,I,SI2,7.64,7.58,4.45,58.5,60,7972
0.3,Ideal,H,VVS2,4.32,4.28,2.67,62.1,56,776
0.41,Premium,E,SI1,4.82,4.78,2.93,61,59,969
0.43,Very Good,E,SI2,4.83,4.85,2.99,61.8,60,688
1.5,Very Good,H,SI1,7.24,7.19,4.47,62,63,7459
1.08,Premium,H,VS2,6.56,6.49,4.07,62.4,58,5250
0.96,Ideal,G,SI1,6.24,6.21,3.92,63,53,4301
0.35,Premium,F,VS1,4.54,4.58,2.77,60.7,58,767
0.71,Ideal,H,VVS2,5.72,5.76,3.55,61.9,56,3371
1,Very Good,D,SI2,6.38,6.33,4.02,63.2,56,3965
1.53,Premium,D,SI1,7.35,7.42,4.55,61.6,58,10712
0.38,Ideal,I,VVS2,4.61,4.63,2.93,63.4,53,809
0.91,Ideal,G,SI1,6.16,6.21,3.87,62.6,57,3884
1.05,Ideal,G,VS1,6.48,6.54,4.07,62.5,56,7037
0.3,Very Good,H,VVS2,4.3,4.32,2.63,61,61,605
0.41,Ideal,F,IF,4.78,4.83,2.95,61.4,58,1439
0.44,Ideal,H,SI1,4.9,4.92,3.04,61.9,57,733
0.35,Ideal,H,VVS1,4.47,4.45,2.79,62.6,57,1024
0.52,Premium,D,SI2,5.17,5.14,3.18,61.7,56,1385
0.33,Very Good,E,VS2,4.41,4.45,2.78,62.8,56,723
0.5,Very Good,F,SI1,5.06,4.98,3.17,63.1,61,1106
1.01,Ideal,G,VS2,6.38,6.43,3.98,62.1,58,6587
0.71,Ideal,E,SI1,5.8,5.84,3.54,60.8,57,3360
0.51,Ideal,D,VS2,5.09,5.15,3.17,61.9,57,1787
1.01,Good,H,SI1,6.27,6.36,3.97,62.9,57,4496
1,Premium,G,VS2,6.55,6.51,3.87,59.3,60,6048
0.3,Premium,F,VS2,4.29,4.32,2.69,62.5,58,605
0.34,Ideal,E,SI2,4.5,4.52,2.77,61.4,55,454
1.97,Premium,H,VS2,8.01,7.9,5,62.9,59,17535
0.33,Premium,I,SI1,4.5,4.54,2.73,60.4,59,434
1.54,Very Good,I,VVS2,7.35,7.43,4.63,62.7,57,10518
1.6,Premium,J,VS1,7.51,7.4,4.66,62.6,59,7903
1.08,Ideal,H,VS2,6.67,6.7,4.03,60.3,57,6411
1.03,Premium,D,VVS2,6.43,6.48,3.98,61.7,59,8469
1.14,Premium,J,SI2,6.73,6.66,4.17,62.3,56,4022
0.41,Ideal,D,VS1,4.75,4.77,2.98,62.6,55,1019
0.95,Ideal,G,VS2,6.34,6.3,3.89,61.6,56,4549
1.18,Ideal,J,VS1,6.79,6.82,4.18,61.4,56,5182
1.53,Premium,G,VS1,7.39,7.3,4.6,62.6,60,14699
0.92,Very Good,D,SI2,6.21,6.25,3.89,62.4,60,4168
0.32,Ideal,D,SI2,4.43,4.46,2.73,61.4,56,477
1.4,Ideal,G,VVS2,7.18,7.13,4.44,62,56,14231
2.06,Premium,I,SI2,8.3,8.24,5.05,61.1,57,12842
1.01,Very Good,E,VVS2,6.41,6.36,4.04,63.3,55,9140
0.75,Premium,H,VS2,5.93,6.02,3.53,59.1,58,2496
0.3,Ideal,H,SI1,4.27,4.22,2.67,62.9,57,554
0.9,Premium,E,SI1,6.34,6.3,3.73,59,59,3508
0.31,Ideal,G,VVS2,4.32,4.35,2.72,62.7,57,660
2.25,Very Good,J,SI2,8.6,8.65,5.04,58.4,63,13597
0.7,Fair,H,VS1,5.48,5.54,3.7,67.2,55,1811
0.33,Premium,E,VS2,4.42,4.46,2.73,61.5,59,723
0.4,Premium,H,VVS1,4.69,4.72,2.91,61.8,58,1017
0.9,Very Good,H,VS1,6.1,6.13,3.85,63,59,4136
0.4,Very Good,J,VS1,4.7,4.69,2.98,63.5,56,756
0.71,Good,E,SI1,5.62,5.75,3.59,63.1,59,2420
0.68,Very Good,F,SI1,5.69,5.74,3.43,60.1,57.9,1964
0.74,Good,H,SI1,5.78,5.71,3.59,62.4,65,2362
1.01,Premium,F,VS2,6.51,6.45,3.98,61.4,57,6923
1.18,Ideal,H,SI1,6.78,6.82,4.18,61.5,57,6440
1.01,Premium,G,SI2,6.54,6.39,3.89,60.1,58,3173
0.38,Ideal,E,VS1,4.7,4.72,2.86,60.7,56,933
0.38,Ideal,D,SI2,4.65,4.71,2.86,61.1,56,633
1.01,Fair,J,VS2,6.54,6.49,3.88,59.6,62,3886
1,Very Good,E,SI2,6.48,6.51,3.87,59.6,59,4321
0.26,Ideal,F,VVS1,4.07,4.1,2.56,62.7,55,635
0.7,Premium,D,VS1,5.72,5.66,3.58,62.9,59,3214
0.35,Ideal,G,VVS1,4.54,4.57,2.81,61.7,56,887
0.42,Ideal,E,SI2,4.77,4.81,2.99,62.4,55,700
1.55,Ideal,H,SI1,7.38,7.4,4.61,62.4,58,10960
0.54,Very Good,E,SI1,5.17,5.2,3.22,62.1,59,1379
2.14,Premium,G,SI2,8.32,8.38,5.04,60.4,59,17513
1.01,Premium,G,SI2,6.55,6.46,3.91,60.1,59,4327
0.72,Premium,E,SI1,5.76,5.73,3.57,62.1,58,2857
0.7,Ideal,E,SI1,5.76,5.79,3.5,60.6,57,2614
0.52,Ideal,F,VVS1,5.19,5.22,3.19,61.3,55,2778
0.7,Premium,E,SI1,6.65,5.73,3.48,61.2,62,2396
0.35,Premium,H,VVS2,4.5,4.54,2.8,61.9,58,706
2.01,Very Good,J,VS2,8.04,8.07,4.92,61.1,59,13109
0.3,Premium,E,VS2,4.25,4.21,2.65,62.6,62,788
0.27,Ideal,E,VS2,4.25,4.23,2.58,60.8,56,537
1.55,Ideal,H,IF,7.42,7.47,4.57,61.4,57,13421
1.19,Ideal,E,SI2,6.84,6.8,4.22,61.9,56,5598
1.13,Ideal,F,VS1,6.7,6.79,4.12,61.1,56,8674
0.3,Very Good,F,SI1,4.27,4.24,2.7,63.5,57,641
0.41,Ideal,E,VVS1,4.76,4.78,2.96,62.1,56,1057
1.01,Premium,G,VVS2,6.59,6.54,4,60.9,59,6968
0.73,Ideal,E,SI1,5.77,5.81,3.58,61.8,56,2728
1,Premium,G,SI1,6.5,6.39,3.88,60.2,59,4427
1.01,Fair,F,SI1,6.21,6.13,4.12,66.8,60,3991
1.2,Ideal,G,VS2,6.86,6.83,4.24,61.9,57,7930
2.05,Premium,I,SI1,8.24,8.21,5.03,61.2,57,15837
0.3,Very Good,G,VS1,4.24,4.28,2.65,62.2,59,605
0.9,Very Good,G,VS2,6.08,6.12,3.89,63.8,58,4400
0.53,Good,D,SI1,5.16,5.12,3.28,63.8,56,1636
0.75,Very Good,D,SI2,5.78,5.73,3.63,63.1,58,2782
1.21,Premium,I,SI2,6.88,6.82,4.16,60.7,60,4879
0.34,Ideal,E,SI1,4.46,4.47,2.8,62.7,55,596
0.4,Ideal,E,VS1,4.76,4.79,2.92,61.2,55,940
0.54,Ideal,H,VVS2,5.26,5.22,3.19,60.9,57,1983
1,Ideal,E,SI1,6.37,6.45,3.97,61.9,56,5458
0.32,Ideal,G,VS1,4.39,4.43,2.7,61.2,56,645
2.02,Very Good,D,SI2,8.19,8.25,4.98,60.6,57,15334
0.4,Ideal,E,VVS1,4.74,4.7,2.91,61.7,57,1397
0.73,Premium,E,VS1,5.77,5.83,3.55,61.2,58,3370
1.01,Good,H,SI2,6.37,6.3,4.06,64.1,56,3111
0.32,Very Good,G,VS2,4.47,4.51,2.69,59.9,57,561
2.01,Fair,G,SI2,7.89,7.84,6.16,65.6,56,15562
0.7,Ideal,H,VS2,5.71,5.74,3.5,61.1,57,2862
1.5,Good,I,VS1,7.48,7.44,4.32,57.9,60,9828
1.52,Premium,F,VS2,7.34,7.29,4.56,62.3,56,14544
0.92,Premium,I,VS2,6.28,6.27,3.82,60.9,58,3895
1.02,Ideal,I,VS2,6.42,6.5,3.93,60.8,57,4281
0.51,Very Good,F,IF,5.18,5.23,3.09,59.4,60,2304
2.12,Premium,E,SI2,8.48,8.41,4.92,58.3,59,18120
0.32,Ideal,E,VVS2,4.41,4.46,2.71,61.1,55,883
0.31,Ideal,H,VS2,4.35,4.31,2.71,62.6,57,628
0.55,Premium,D,SI1,5.23,5.14,3.21,61.9,60,1815
0.7,Very Good,E,SI1,5.59,5.56,3.53,63.3,60,2592
0.33,Very Good,D,VVS2,4.44,4.48,2.76,61.9,56,856
0.34,Ideal,F,VS2,4.56,4.53,2.76,60.7,56,938
0.4,Good,E,VVS1,4.8,4.83,2.86,59.4,61,1088
1.02,Ideal,G,I1,6.49,6.46,3.98,61.5,56,3382
1.11,Premium,F,SI2,6.8,6.74,3.99,58.9,60,4612
0.32,Premium,G,SI2,4.4,4.35,2.73,62.4,59,540
0.81,Very Good,E,SI1,6.05,6.09,3.61,59.5,60,2973
0.34,Ideal,G,VVS2,4.47,4.5,2.78,62,55,722
1.28,Ideal,G,SI2,6.95,6.99,4.31,61.8,56,6833
1.03,Premium,G,VS2,6.45,6.4,4.05,63,59,5826
0.51,Ideal,H,SI2,5.12,5.14,3.18,62.1,55,1016
1.51,Premium,H,VS2,7.45,7.32,4.45,61.5,58,10548
0.52,Ideal,D,VS2,5.16,5.18,3.19,61.7,56,1822
1.5,Premium,I,VS2,7.24,7.3,4.53,62.3,59,8431
0.26,Ideal,F,VS2,4.1,4.12,2.56,62.3,56,456
1.7,Ideal,H,SI1,7.71,7.68,4.71,61.2,57,9139
2.14,Premium,J,SI2,8.52,8.5,4.97,58.4,58,10306
1.05,Very Good,J,I1,6.61,6.55,3.92,59.6,63,2705
0.75,Premium,H,VS2,5.9,5.87,3.58,60.8,57,2484
0.3,Ideal,F,VS2,4.34,4.31,2.68,62,54,776
2.2,Ideal,I,SI1,8.37,8.41,5.18,61.7,55,17895
0.71,Very Good,E,SI1,5.76,5.8,3.45,59.7,58,2574
0.3,Very Good,E,VS2,4.25,4.28,2.66,62.4,56,658
0.5,Premium,I,SI2,5.23,5.18,3.11,59.8,56,900
1.01,Ideal,G,VVS2,6.48,6.41,4.01,62.2,54,8252
0.9,Good,F,VS2,6.1,6.14,3.84,62.7,59,4493
1.51,Premium,J,VVS2,7.33,7.31,4.58,62.6,59,8930
0.42,Ideal,J,VS1,4.75,4.79,2.99,62.7,57,723
1.1,Ideal,G,SI2,6.63,6.61,4.11,62.1,56,4750
0.51,Premium,G,VVS1,5.12,5.08,3.14,61.6,59,1971
0.57,Ideal,E,VVS1,5.29,5.33,3.31,62.3,53.5,2632
1.23,Premium,I,SI1,6.96,6.93,4.14,59.6,60,5648
1.01,Fair,E,SI2,6.21,6.11,4.18,67.6,57,2862
0.5,Ideal,I,VS1,5.11,5.13,3.12,61,57,1266
0.7,Very Good,E,SI1,5.66,5.7,3.55,62.5,59,2617
1.39,Ideal,G,VVS2,7.22,7.3,4.44,61.4,54,12462
0.52,Ideal,D,VVS2,5.19,5.22,3.2,61.5,55,3284
0.95,Very Good,J,VS1,6.25,6.29,3.91,62.4,57,3365
2.14,Very Good,F,SI2,8.45,8.5,4.93,58.2,61,17582
0.46,Good,D,IF,5.06,5.11,2.98,58.6,59,2139
0.31,Ideal,E,VVS1,4.36,4.33,2.68,61.7,56,988
0.4,Very Good,H,VVS1,4.73,4.76,2.87,60.5,59,900
0.4,Ideal,D,VS2,4.77,4.73,2.87,60.4,56,1050
0.79,Very Good,I,SI1,5.92,5.96,3.67,61.8,60,2296
0.95,Premium,G,SI1,6.47,6.42,3.74,58,62,4426
0.5,Good,D,SI1,5.02,4.93,3.18,63.9,56,1210
0.7,Ideal,F,VVS1,5.68,5.73,3.52,61.7,56,4951
0.53,Ideal,G,VS1,5.2,5.17,3.21,61.9,56,1813
0.83,Very Good,F,SI1,5.95,5.96,3.75,63,55,3207
1.01,Premium,I,SI1,6.37,6.34,4,62.9,58,4242
0.43,Very Good,F,SI2,4.8,4.84,2.97,61.6,59,681
1.05,Ideal,E,VVS2,6.52,6.49,4.06,62.4,56,9146
1.21,Good,J,VS2,6.89,6.79,4.17,61,64,5096
0.54,Premium,H,SI2,5.2,5.16,3.2,61.8,60,972
0.97,Good,J,VS2,6.25,6.22,4.01,64.3,58,3129
0.5,Very Good,H,SI1,5.01,5.04,3.16,62.9,58,1068
0.55,Premium,D,VVS2,5.3,5.26,3.23,61.2,57,2366
1.05,Very Good,H,VS2,6.48,6.41,4.08,63.3,56,5614
0.41,Very Good,F,VS2,4.69,4.73,2.96,62.8,58,863
1.3,Premium,F,SI2,7.07,6.92,4.33,61.6,58,5788
2.14,Premium,F,SI2,8.5,8.45,4.93,58.2,61,17742
1.01,Very Good,F,VVS2,6.47,6.55,3.89,59.8,58,8212
0.93,Ideal,E,SI2,6.27,6.29,3.9,62.1,55,3990
0.37,Premium,I,VVS1,4.55,4.58,2.85,62.4,58,681
1.01,Good,H,SI1,6.35,6.41,4.01,62.9,55,4574
1.02,Premium,E,SI2,6.61,6.57,3.87,58.7,59,4478
0.39,Very Good,D,VS1,4.64,4.69,2.88,61.7,59,876
0.7,Premium,F,SI2,5.78,5.68,3.41,59.5,61,1662
0.41,Ideal,G,IF,4.78,4.82,2.95,61.5,57,1269
0.35,Ideal,D,SI1,4.52,4.56,2.83,62.3,55,644
0.66,Premium,D,VS1,5.67,5.57,3.43,61,58,2861
1.2,Good,J,VS2,6.65,6.57,4.25,64.3,56,4637
0.34,Premium,G,VS1,4.52,4.48,2.8,62.2,55,821
0.44,Ideal,I,VVS2,4.9,4.93,2.99,60.8,56,912
0.9,Fair,G,I1,6.05,5.99,3.92,65.1,58,1939
0.3,Very Good,D,SI1,4.26,4.28,2.67,62.5,57,552
0.51,Very Good,E,VS2,5.02,5.06,3.23,64.1,57,1549
1.21,Ideal,H,SI2,6.81,6.87,4.25,62,54.5,5814
0.7,Very Good,H,SI1,5.64,5.68,3.56,62.9,56,2048
1.52,Good,I,SI1,7.26,7.21,4.64,64.1,57,8852
1.28,Ideal,G,VS1,6.97,6.96,4.32,62,57,9498
0.23,Ideal,G,VVS1,3.94,3.97,2.43,61.5,57,536
0.3,Ideal,G,IF,4.37,4.33,2.67,61.4,57,956
0.56,Ideal,E,VVS2,5.28,5.32,3.32,62.6,54,2441
0.3,Ideal,E,VVS2,4.27,4.29,2.65,61.9,58,766
0.56,Ideal,H,SI1,5.31,5.34,3.29,61.8,55,1214
1.22,Very Good,E,VS2,6.91,7,4.14,59.5,60,9495
0.76,Premium,E,SI1,5.92,5.94,3.58,60.4,58,2789
0.34,Ideal,E,VS1,4.51,4.47,2.78,61.8,56,1033
0.3,Good,G,VS1,4.26,4.3,2.71,63.3,56,605
1.07,Very Good,D,VS2,6.51,6.59,4.09,62.4,57,7415
0.32,Ideal,D,SI2,4.42,4.38,2.72,61.8,55,612
0.63,Good,H,IF,5.66,5.7,3.37,59.3,62,2404
1.57,Premium,I,VS2,7.5,7.42,4.66,62.5,58,9847
0.41,Ideal,H,VVS1,4.78,4.74,2.96,62.2,57,1115
0.73,Very Good,H,SI1,5.77,5.8,3.6,62.2,57,2001
0.82,Ideal,E,SI2,6,5.97,3.72,62.2,57,3012
1.63,Premium,E,VS2,7.57,7.49,4.65,61.8,58,13678
0.75,Premium,H,SI1,5.87,5.82,3.55,60.7,62,2331
0.3,Very Good,E,VS2,4.22,4.27,2.67,62.9,58,658
0.53,Ideal,F,SI1,5.19,5.21,3.22,61.9,55,1360
1.2,Very Good,J,VS2,6.93,6.96,4.08,58.7,60,5234
1.54,Ideal,J,VVS2,7.32,7.37,4.61,62.8,58,9171
0.7,Very Good,E,VVS2,5.67,5.71,3.5,61.5,58,3429
0.3,Ideal,F,SI1,4.28,4.3,2.68,62.5,56,475
0.7,Good,E,SI1,5.49,5.53,3.5,63.5,59,2812
1.04,Ideal,H,SI1,6.51,6.55,4.03,61.7,56,5469
1.2,Premium,I,SI1,6.85,6.79,4.27,62.6,59,5712
0.54,Very Good,D,VS2,5.21,5.26,3.23,61.7,55,1817
1.02,Premium,F,VVS2,6.56,6.44,3.96,60.9,59,8774
0.33,Very Good,G,VVS2,4.38,4.42,2.77,63,57,752
0.34,Very Good,I,SI1,4.57,4.58,2.71,59.2,61,447
0.6,Ideal,G,VS2,5.46,5.48,3.34,61.1,55,1930
0.54,Ideal,H,VVS1,5.22,5.25,3.24,61.9,54,1774
0.77,Good,H,SI1,5.82,5.74,3.64,63,65,2338
0.53,Ideal,H,SI1,5.2,5.24,3.25,62.3,57,1197
0.51,Premium,F,VS2,5.13,5.09,3.14,61.4,58,1619
0.56,Ideal,F,VS1,5.33,5.3,3.28,61.7,56,2016
0.31,Premium,H,VVS2,4.35,4.32,2.66,61.4,58,802
0.71,Ideal,I,VS1,5.71,5.85,3.54,61.6,54.7,2397
1.37,Ideal,J,SI1,7.13,7.16,4.44,62.1,55,6339
1.51,Very Good,E,SI1,7.43,7.47,4.49,60.3,58,12224
0.6,Good,G,SI1,5.4,5.45,3.33,61.3,61.2,1565
0.34,Ideal,H,VS2,4.48,4.55,2.77,61.4,57,537
0.27,Ideal,E,VVS2,4.13,4.15,2.57,62.1,57,622
0.55,Premium,E,SI1,5.3,5.25,3.22,61,61,1668
1.67,Very Good,H,SI1,7.73,7.78,4.61,59.4,61,11146
0.3,Good,D,VS2,4.33,4.36,2.56,58.9,62,621
1.06,Premium,F,SI1,6.58,6.53,4.06,61.9,58,4862
0.3,Ideal,H,VS1,4.27,4.3,2.64,61.6,55,526
0.9,Premium,H,VS2,6.24,6.19,3.81,61.3,59,4082
1.77,Premium,J,SI2,7.84,7.72,4.82,62,55,8840
0.35,Premium,H,SI1,4.54,4.47,2.81,62.4,58,647
0.3,Premium,E,SI1,4.29,4.27,2.64,61.7,56,675
0.9,Good,G,SI2,6.16,6.13,3.92,63.8,56,3246
1.5,Premium,I,SI2,7.34,7.24,4.43,60.8,58,7526
0.5,Good,D,SI1,5.02,4.93,3.18,63.9,56,1257
0.41,Good,D,SI1,4.72,4.68,3,63.8,56,947
0.52,Premium,D,VS2,5.25,5.22,3.17,60.6,56,1919
0.41,Good,D,SI1,4.68,4.72,3,63.8,56,738
0.32,Very Good,J,VS2,4.37,4.4,2.76,62.9,56,393
0.81,Ideal,H,VS2,6.03,5.98,3.7,61.6,56,3084
1.2,Premium,F,VVS2,6.98,6.87,4.19,60.5,60,10064
1.07,Premium,D,SI1,6.68,6.64,4.01,60.2,55,6112
0.3,Very Good,G,VS1,4.24,4.26,2.67,62.8,57,605
0.7,Premium,H,VS2,5.66,5.68,3.44,60.7,59,2394
0.4,Very Good,D,VS1,4.67,4.7,3.01,64.2,57,967
0.7,Very Good,F,SI1,5.71,5.72,3.54,61.9,58,2900
0.7,Good,I,SI1,5.59,5.68,3.47,61.6,63,1763
0.51,Good,G,VVS2,5.04,5.07,3.2,63.3,58,1800
0.5,Premium,D,SI1,5.08,5.12,3.17,62.2,58,1272
0.73,Very Good,F,VVS1,5.79,5.83,3.52,60.6,56,3720
0.3,Premium,D,VVS2,4.39,4.34,2.6,59.6,61,1099
1.28,Premium,E,SI2,6.93,6.89,4.32,62.5,58,5620
0.9,Ideal,I,SI2,6.16,6.2,3.83,62,56,3001
0.9,Very Good,G,VS2,6.13,6.16,3.78,61.5,60,4386
0.32,Ideal,H,VS1,4.41,4.43,2.71,61.3,55,561
1.07,Ideal,F,SI2,6.62,6.65,4.02,60.7,56.9,5027
1.13,Ideal,I,SI2,6.68,6.7,4.15,62,55,5378
1.01,Premium,F,VVS1,6.41,6.35,3.99,62.5,58,7882
1.21,Very Good,H,SI1,6.93,6.94,4.13,59.6,60,7203
0.73,Ideal,D,VS2,5.89,5.92,3.65,61.8,54,3319
1.58,Ideal,I,SI1,7.45,7.51,4.68,62.6,56,9176
0.3,Ideal,D,VS1,4.3,4.34,2.68,62,54,661
0.39,Premium,F,SI1,4.71,4.68,2.88,61.3,62,860
0.3,Very Good,E,SI1,4.24,4.31,2.69,62.9,56,526
0.7,Very Good,D,SI1,5.78,5.84,3.39,58.3,62,2563
1.02,Premium,G,VVS2,6.46,6.41,4.03,62.6,59,7741
0.9,Very Good,D,SI2,6.14,6.2,3.74,60.6,61,3534
1.01,Very Good,E,VS2,6.37,6.31,4.02,63.4,60,6787
0.3,Ideal,G,VVS1,4.35,4.36,2.7,62,54,764
1.4,Premium,D,SI2,7.21,7.16,4.44,61.8,54,8419
1.31,Premium,H,SI2,7.1,7.07,4.25,60,57,6089
0.51,Premium,G,VS1,5.1,5.05,3.19,62.9,58,1781
0.75,Very Good,E,SI1,5.85,5.9,3.59,61.1,59,3005
2.03,Fair,F,I1,7.89,7.86,5.16,65.6,56,6753
0.75,Ideal,D,SI2,5.83,5.87,3.64,62.2,55,2757
0.73,Ideal,G,VS2,5.8,5.83,3.58,61.6,56,3595
0.93,Very Good,D,SI1,6.24,6.27,3.8,60.8,59,4527
0.26,Good,F,VS1,4.06,4.1,2.55,62.5,56,373
1.84,Premium,H,SI2,7.97,7.87,4.81,61,58,7922
0.53,Good,F,SI1,5.16,5.13,3.28,63.8,56,1363
0.3,Premium,D,VS2,4.25,4.22,2.65,62.6,61,911
0.5,Ideal,F,SI2,5.09,5.14,3.15,61.6,54,1079
0.38,Ideal,G,SI1,4.68,4.63,2.86,61.6,56,969
0.54,Ideal,J,SI2,5.24,5.27,3.22,61.3,58,978
1.01,Very Good,F,VS2,6.39,6.29,4,63.1,57,5226
0.52,Very Good,I,VVS2,5.16,5.18,3.2,61.9,56,1289
0.34,Very Good,F,VVS1,4.49,4.52,2.76,61.3,57,939
1.51,Very Good,I,VS2,7.28,7.34,4.5,61.6,57,9185
1.5,Good,G,SI2,7.19,7.09,4.54,63.6,58,6552
1.51,Fair,H,SI2,7.18,7.13,4.69,65.5,56,6816
0.41,Ideal,F,IF,4.76,4.81,2.97,62.1,55,1439
1.18,Ideal,I,VS1,6.76,6.72,4.19,62.2,57,5551
0.31,Very Good,F,VS2,4.34,4.39,2.71,62.1,54,500
1.01,Premium,J,SI2,6.37,6.41,3.95,61.8,60,3499
0.74,Ideal,G,SI2,5.8,5.87,3.6,61.7,56,2690
0.57,Ideal,F,VVS1,5.36,5.44,3.3,61.1,55,3057
1.41,Ideal,G,VS1,7.22,7.31,4.39,60.4,57,11009
1.02,Ideal,F,SI2,6.43,6.49,3.99,61.8,57,4746
1.05,Premium,G,SI2,6.47,6.41,4.06,63,57,4618
0.3,Very Good,H,SI1,4.25,4.29,2.67,62.5,57,432
1.71,Very Good,D,SI2,7.56,7.64,4.72,62.1,58,11737
0.4,Premium,F,VS2,4.71,4.76,2.94,62.1,58,842
0.32,Ideal,D,SI2,4.4,4.46,2.65,59.8,57,477
0.39,Ideal,G,VS2,4.66,4.69,2.9,62.2,53.9,787
1.14,Ideal,E,VVS2,6.68,6.71,4.17,62.3,55,10512
0.4,Ideal,I,VS2,4.73,4.76,2.96,62.4,54,667
1.26,Very Good,F,VS2,6.86,6.96,4.24,61.4,59,9071
1,Ideal,E,VS2,6.47,6.44,3.97,61.5,55,6989
0.56,Ideal,D,SI1,5.28,5.24,3.29,62.5,56,1729
1.11,Premium,H,SI2,6.67,6.63,4.09,61.5,59,4662
1.35,Very Good,J,VS1,7.04,7.1,4.39,62.1,56,5759
1.51,Premium,D,SI1,7.51,7.48,4.47,59.6,58,12738
0.92,Good,D,SI1,6.09,6.14,3.89,63.6,57,4158
0.37,Ideal,H,IF,4.63,4.66,2.85,61.4,55,936
1.18,Ideal,G,SI1,6.76,6.79,4.2,62,56,6960
0.33,Ideal,E,VS2,4.45,4.4,2.74,61.9,56,928
1.58,Premium,G,VS1,7.46,7.43,4.62,62.1,59,12645
0.41,Premium,E,VS1,4.8,4.77,2.96,61.9,59,1153
0.31,Ideal,G,VVS1,4.37,4.41,2.69,61.3,56,789
0.3,Ideal,F,SI1,4.27,4.3,2.67,62.3,54,500
1.39,Ideal,D,SI1,7.24,7.25,4.48,61.9,52,9519
0.25,Very Good,F,VVS2,4.1,4.13,2.47,60.1,57,633
0.35,Ideal,I,VVS2,4.53,4.49,2.81,62.3,57,788
0.25,Premium,E,VS2,4.1,4.08,2.44,59.7,61,525
1.01,Good,E,VS2,6.44,6.46,3.92,60.8,63,6250
1.42,Ideal,H,SI2,7.21,7.16,4.47,62.2,56,7475
1.58,Ideal,F,SI1,7.52,7.47,4.64,61.9,55,14495
0.34,Ideal,G,VS2,4.5,4.47,2.79,62.2,55,765
0.5,Premium,E,VS2,5.21,5.16,3.04,58.6,60,1654
0.9,Very Good,D,SI1,6.18,6.25,3.83,61.6,54,3880
0.76,Fair,H,SI1,5.75,5.66,3.74,65.5,59,2193
1.5,Very Good,F,VS2,7.29,7.32,4.52,61.9,60,13001
1.52,Ideal,F,VS1,7.29,7.41,4.57,62.2,55,16055
0.41,Premium,E,SI2,4.8,4.85,2.96,61.3,59,683
0.32,Ideal,H,VVS1,4.4,4.43,2.72,61.6,55,730
0.33,Very Good,H,VVS1,4.43,4.47,2.78,62.5,55,692
1.51,Good,H,SI1,7.25,7.29,4.49,61.8,62,9681
1,Very Good,F,VS2,6.4,6.43,3.99,62.2,57,6183
0.42,Ideal,G,VS1,4.82,4.85,2.97,61.4,56,921
0.36,Premium,D,VS2,4.62,4.59,2.81,61,58,1094
1.01,Ideal,G,VVS1,6.51,6.49,3.97,61.1,56,8647
0.72,Premium,F,VVS1,5.75,5.68,3.59,62.8,58,3689
0.31,Ideal,D,VS2,4.34,4.31,2.69,62.2,55,942
0.31,Very Good,D,VS1,4.33,4.37,2.71,62.3,56,736
1.59,Ideal,E,SI2,7.52,7.48,4.67,62.3,55,11251
0.59,Ideal,E,VVS2,5.46,5.51,3.3,60.2,56,2553
1.01,Very Good,E,SI2,6.48,6.57,3.94,60.4,60,4352
0.42,Very Good,F,VS2,4.75,4.82,2.95,61.7,59,884
0.9,Ideal,H,SI2,6.19,6.17,3.83,62,57,3516
0.43,Ideal,I,VVS1,4.86,4.83,3.05,63,56,968
0.6,Very Good,H,SI1,5.3,5.35,3.36,63.1,60,1402
1.05,Ideal,G,VS1,6.47,6.53,4.03,62,56,6936
1.01,Ideal,G,VVS2,6.49,6.54,3.98,61.1,57,8029
0.7,Very Good,E,VS2,5.71,5.76,3.47,60.5,59,2757
0.94,Ideal,D,SI2,6.21,6.25,3.87,62.1,56,4182
1.02,Very Good,F,SI2,6.33,6.42,3.95,62,59,4162
0.52,Ideal,G,VVS2,5.17,5.19,3.23,62.4,55,1911
0.91,Premium,H,SI2,6.15,6.12,3.86,62.9,59,3363
0.59,Very Good,I,SI1,5.34,5.36,3.36,62.8,59,1109
0.61,Good,F,VS1,5.53,5.47,3.3,60,65,2196
0.32,Ideal,G,VS1,4.42,4.46,2.72,61.3,55,645
1.26,Ideal,H,VS2,6.95,6.89,4.27,61.7,56,7424
0.31,Premium,E,VS2,4.39,4.33,2.66,61,59,872
0.71,Ideal,G,SI1,5.67,5.69,3.55,62.5,57,2604
0.75,Very Good,E,SI1,5.93,5.97,3.52,59.2,59,3260
0.73,Ideal,G,VS2,5.8,5.82,3.59,61.8,54,2839
